Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Donna Jennings,Christinefort,AI/ML Engineer,Java,Oracle Certified Professional,29,4,99,7,6476
Judy Wilson,East Jacquelinefort,Backend Developer,Ruby,Google Cloud Engineer,50,17,147,1,1168
Sarah Navarro,Allenville,Mobile Developer,C#,AWS Certified Solutions Architect,43,14,13,3,3080
Linda Smith,South William,Data Scientist,Swift,Oracle Certified Professional,45,7,86,6,2887
Jessica Smith,East Mary,Frontend Developer,C#,Microsoft Azure Fundamentals,23,2,90,0,6234
Jeffery Reyes,Martinezshire,Database Administrator,C#,AWS Certified Solutions Architect,59,35,71,8,951
Tracy Davis,North Andrew,Backend Developer,TypeScript,Oracle Certified Professional,28,7,2,9,2791
Deanna Martin,Lake Kennethport,Cybersecurity Specialist,Java,Oracle Certified Professional,29,8,32,6,985
Charles Ward,North Alexis,Backend Developer,Go,Certified Ethical Hacker,34,12,128,1,3727
Jean Garcia,Conwayfort,Frontend Developer,Python,Certified Ethical Hacker,35,11,55,6,7530
Kayla Banks,Luisfurt,Cybersecurity Specialist,PHP,AWS Certified Developer,33,0,53,6,1668
Dana Hodges,North Reneebury,Frontend Developer,JavaScript,Cisco CCNA,39,4,51,6,6001
Monica Bailey,North Stephanie,DevOps Engineer,Python,Certified Ethical Hacker,49,12,6,1,2521
David Medina,Harperborough,QA Tester,Swift,Certified Scrum Master,41,7,85,7,3888
David Dillon,Jamesborough,AI/ML Engineer,TypeScript,AWS Certified Solutions Architect,31,11,91,2,1385
Sabrina Carr,South Andrew,QA Tester,TypeScript,AWS Certified Developer,56,32,46,8,4211
Joy Jensen,North Mariafurt,Cloud Architect,Python,Microsoft Azure Fundamentals,26,3,0,6,5724
Madison Butler,New Jenniferstad,Cybersecurity Specialist,JavaScript,AWS Certified Solutions Architect,47,16,79,9,1853
Holly Stone,Kevinstad,Mobile Developer,Go,Oracle Certified Professional,38,5,66,0,3056
Diamond Saunders,New Sarahmouth,Backend Developer,TypeScript,CompTIA Security+,43,15,27,1,4856
Tommy Farmer,West Brendaburgh,DevOps Engineer,C#,Google Cloud Engineer,48,5,123,8,4056
Benjamin Watson DDS,Port Gregory,Cloud Architect,Kotlin,Certified Scrum Master,47,25,57,7,967
Kerry White,Lake Sarahmouth,Cloud Architect,Swift,Oracle Certified Professional,48,3,137,1,1790
Katie Hernandez,North Traci,Backend Developer,Go,Cisco CCNA,29,0,73,6,5376
Robin Romero,North Stefanie,Mobile Developer,Swift,AWS Certified Developer,59,26,13,0,5977
Teresa Moore,Hillborough,Cybersecurity Specialist,Ruby,Cisco CCNA,30,5,33,6,1249
Julie Davis,Port Nathanbury,Data Scientist,Swift,AWS Certified Solutions Architect,31,10,102,7,7763
David Johnson,Port Christianside,QA Tester,Ruby,AWS Certified Solutions Architect,60,35,77,5,5975
Dr. Edward Rodriguez,Port Shaunton,Data Scientist,Java,Google Cloud Engineer,27,4,113,4,5418
Jeanette Bailey,Ochoaside,Database Administrator,PHP,Microsoft Azure Fundamentals,55,13,143,6,4743
Danielle Stafford,Lake Tammy,QA Tester,Ruby,CompTIA Security+,48,5,14,6,6915
Brett Carpenter,Rodriguezton,AI/ML Engineer,PHP,CompTIA Security+,59,22,33,9,5268
Julia White,Mariahaven,Frontend Developer,Ruby,AWS Certified Solutions Architect,29,9,101,0,1525
Nicole Mckee,South Kristen,Backend Developer,JavaScript,Google Cloud Engineer,44,17,78,5,7987
Michael Leach,Michaelmouth,Data Scientist,TypeScript,AWS Certified Developer,29,2,61,0,3654
Joan Smith,Kiaraborough,Database Administrator,JavaScript,Microsoft Azure Fundamentals,26,1,5,9,2646
Michael Brown,Johnsonport,Mobile Developer,C#,Microsoft Azure Fundamentals,31,5,134,8,4755
Kimberly Ingram,North Louischester,Database Administrator,Python,Microsoft Azure Fundamentals,49,1,16,10,1093
Charles Barton,Jensenview,Backend Developer,Kotlin,Cisco CCNA,36,3,54,5,1719
Jordan West,Christopherport,Database Administrator,Python,CompTIA Security+,29,0,104,5,4557
Barbara Reed,Shaneland,Mobile Developer,TypeScript,Google Cloud Engineer,34,9,144,0,3204
Janet Stevens,Morrisstad,Frontend Developer,Swift,Oracle Certified Professional,48,23,149,9,4547
Michele Berg,North Patricia,QA Tester,PHP,AWS Certified Solutions Architect,38,5,42,1,4972
Emily Payne,Roachhaven,Frontend Developer,PHP,Oracle Certified Professional,60,1,8,9,6698
Danielle Nguyen,West Andrew,Cybersecurity Specialist,C#,Oracle Certified Professional,59,29,127,6,7567
William Silva,Robertoland,Cybersecurity Specialist,Ruby,PMI-ACP,39,9,103,9,5388
James Ortiz,South Jorge,QA Tester,TypeScript,PMI-ACP,49,4,147,1,1214
Mark Murillo,North Shaun,QA Tester,C#,PMI-ACP,54,32,57,7,2250
Carol Bauer PhD,North Shellyport,Mobile Developer,Kotlin,CompTIA Security+,58,15,110,2,5119
Ryan Walsh,South Nicholasmouth,Mobile Developer,Ruby,Oracle Certified Professional,31,5,150,0,2021
Todd Morris,East Denise,Cloud Architect,C#,Google Cloud Engineer,28,4,20,7,2515
Hannah Goodman,Port Eric,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,38,1,33,9,2364
Austin Gilbert,Tonyport,Cloud Architect,JavaScript,Cisco CCNA,24,2,87,2,2568
Christopher Alexander,South John,Cloud Architect,Java,PMI-ACP,54,10,59,7,2561
Charles Lopez,South Hannah,Frontend Developer,PHP,AWS Certified Developer,51,9,102,9,5738
Jennifer Payne,Lake Mikeburgh,QA Tester,Go,Cisco CCNA,41,13,35,6,5579
Sharon Sanchez,Brandiland,DevOps Engineer,Kotlin,PMI-ACP,39,2,136,1,3827
Alexander Navarro,Hannahmouth,Frontend Developer,Python,Microsoft Azure Fundamentals,47,25,34,7,5054
Katherine Meyer,Marystad,AI/ML Engineer,Kotlin,Oracle Certified Professional,51,20,47,4,5519
Jody Giles,Williamsmouth,Mobile Developer,Kotlin,Certified Ethical Hacker,43,21,51,5,7866
Dustin Jackson,Lake Robert,Backend Developer,Python,CompTIA Security+,40,0,102,3,2141
Kyle Rojas,Villarrealmouth,Data Scientist,C#,CompTIA Security+,47,12,101,4,1393
Brian Tate,North Loriborough,Data Scientist,PHP,Certified Ethical Hacker,47,3,112,3,7152
Janet Wells,Lake Aaronburgh,Database Administrator,Go,Microsoft Azure Fundamentals,24,3,99,7,3192
Leslie Cline,Amandaland,Backend Developer,TypeScript,Certified Ethical Hacker,36,6,44,3,2145
Marcus Jefferson,New Hollyberg,AI/ML Engineer,Ruby,Certified Ethical Hacker,33,10,53,4,3849
Dustin Larsen,North Amanda,Backend Developer,Python,Certified Scrum Master,52,11,63,6,1315
Dylan Bernard,Scottfurt,Frontend Developer,Kotlin,Oracle Certified Professional,25,4,3,2,7343
Daniel Harrison,South Andrew,Backend Developer,PHP,Microsoft Azure Fundamentals,52,17,105,2,7529
Todd Collins,West Adrianland,QA Tester,Swift,AWS Certified Solutions Architect,22,2,96,8,4581
Michael Spencer,Gutierrezland,Mobile Developer,Ruby,AWS Certified Solutions Architect,38,7,64,0,1011
Andrew Conner,Jamesville,Data Scientist,Go,CompTIA Security+,29,2,56,1,1719
Jessica Glover,East Shawna,QA Tester,Go,CompTIA Security+,41,4,130,8,5953
Matthew Mora,New Melissa,Data Scientist,Swift,AWS Certified Solutions Architect,38,17,99,3,2727
Anita Richard DDS,West Chadport,Data Scientist,Swift,Certified Scrum Master,49,28,87,10,5077
Nathan Hawkins,Lake Spencer,Database Administrator,Kotlin,PMI-ACP,30,3,84,9,1555
Casey Torres,Newtonfort,Cybersecurity Specialist,Ruby,Google Cloud Engineer,34,6,27,7,3593
Robert Taylor,West Shannon,Backend Developer,Java,PMI-ACP,36,6,64,8,5768
Joshua Ward,Rogersfort,Backend Developer,C#,AWS Certified Developer,50,8,51,0,1741
Amber Mitchell,West Gregg,Frontend Developer,Go,AWS Certified Solutions Architect,46,25,120,6,4158
Ashley Williams,North Lisa,Database Administrator,Ruby,AWS Certified Developer,37,7,21,7,5603
Kara Porter,Markview,Backend Developer,C#,Cisco CCNA,33,1,61,8,3862
Robert Davis,Port Nicole,QA Tester,Swift,AWS Certified Developer,43,14,50,0,2393
Perry Miller,Garciaborough,Backend Developer,TypeScript,CompTIA Security+,58,31,9,6,2818
Nancy Garcia,Nicholshaven,DevOps Engineer,Java,AWS Certified Developer,23,2,76,6,2277
Taylor Gomez,Port Danielleborough,Mobile Developer,Java,CompTIA Security+,31,11,17,3,7687
Tina Johnson,Daytown,AI/ML Engineer,Python,Google Cloud Engineer,31,5,136,0,5061
Marcus Ball,Priceview,Mobile Developer,Go,Certified Scrum Master,39,0,19,6,2754
Kevin Stanley,Lake Kelliemouth,QA Tester,C#,Oracle Certified Professional,55,13,107,5,1082
Jessica Klein,Clarkchester,Mobile Developer,Java,Google Cloud Engineer,45,5,140,8,5225
Christy Young,East Samantha,Backend Developer,PHP,CompTIA Security+,44,10,62,0,5211
Samantha King,Dennisshire,Frontend Developer,Python,PMI-ACP,59,5,137,0,897
James Solomon,West John,Cloud Architect,C#,Cisco CCNA,31,7,34,5,3676
Scott Drake,West Dianachester,Cybersecurity Specialist,Go,Certified Scrum Master,44,20,140,7,1711
Emily Park,Derrickberg,Data Scientist,TypeScript,Certified Scrum Master,40,11,50,5,6968
Christopher Smith,Tonyabury,Frontend Developer,Python,AWS Certified Developer,56,34,26,4,3327
Samuel Key,Erichaven,QA Tester,PHP,Google Cloud Engineer,42,21,75,8,4108
Nancy Joseph,North Jon,QA Tester,Ruby,CompTIA Security+,25,5,35,5,1904
Christina Williams,New Leslie,AI/ML Engineer,Python,Certified Ethical Hacker,35,14,137,0,1334
Donna Hopkins,West Gabriellefort,Cloud Architect,Kotlin,Certified Scrum Master,43,23,66,1,5729
Matthew Ramsey,Port Melissaview,Cybersecurity Specialist,PHP,CompTIA Security+,58,10,77,5,2397
Daniel Meyer,South Gary,AI/ML Engineer,Python,Google Cloud Engineer,39,13,55,6,5199
Kaitlyn Delacruz,North Stevenside,Backend Developer,JavaScript,Oracle Certified Professional,27,5,91,6,5041
Steven Martinez,Thomasside,AI/ML Engineer,JavaScript,AWS Certified Developer,50,29,5,7,6923
Michelle Young,Hamiltonchester,Data Scientist,Python,Microsoft Azure Fundamentals,41,8,14,5,6445
Matthew Ramirez,Lake Crystalbury,Data Scientist,Java,Google Cloud Engineer,57,25,3,1,3672
Donald Williams,Walkerberg,Backend Developer,C#,Google Cloud Engineer,56,11,0,0,1847
Angela Sutton,Murphymouth,Frontend Developer,Java,Certified Scrum Master,43,9,42,7,992
Natalie Morris,East Brianna,Frontend Developer,Ruby,Certified Ethical Hacker,34,5,77,6,6738
David Campbell,Houseland,Backend Developer,Swift,Microsoft Azure Fundamentals,50,15,22,0,7530
Jessica Thompson,Tonyside,Frontend Developer,Swift,Certified Ethical Hacker,59,15,124,7,6152
Carlos Miller,East Eric,Backend Developer,C#,Google Cloud Engineer,38,13,26,10,1575
David Murray,North Nicholaschester,Database Administrator,PHP,Cisco CCNA,47,7,121,3,1443
Yolanda Mcneil,West Eric,Data Scientist,C#,CompTIA Security+,29,3,58,6,4182
Laurie Hicks,Chaneyhaven,Cybersecurity Specialist,PHP,Certified Ethical Hacker,36,13,79,0,4867
Mr. Zachary Wright,New Amanda,Frontend Developer,Swift,AWS Certified Developer,58,15,83,1,5656
Jamie Hunter,North Clarenceview,Cybersecurity Specialist,Ruby,Microsoft Azure Fundamentals,45,3,125,7,1803
Jeremy Palmer,Matthewstad,AI/ML Engineer,JavaScript,Certified Ethical Hacker,23,1,106,5,3230
Michael Hutchinson,Dunnhaven,Cybersecurity Specialist,Python,Certified Ethical Hacker,52,29,16,3,3802
Charles Graham,Martinezborough,Data Scientist,Swift,Certified Ethical Hacker,51,21,54,3,2816
Courtney Nelson,Lake Gabrieltown,Database Administrator,Swift,AWS Certified Developer,56,16,61,9,4756
Ana Davis,South Zachary,QA Tester,Ruby,AWS Certified Developer,47,0,21,0,7607
Larry Garcia,New Lance,Frontend Developer,Swift,Certified Scrum Master,51,22,131,2,5599
Shannon Stout,South Amber,Backend Developer,Swift,Oracle Certified Professional,50,2,53,4,4947
Vanessa Ruiz,Sharonchester,Mobile Developer,Go,Certified Ethical Hacker,43,4,91,0,6598
Jordan Smith,North Davidmouth,QA Tester,PHP,Google Cloud Engineer,38,13,91,1,3738
Andrew Meadows,Port Matthewfort,AI/ML Engineer,TypeScript,Cisco CCNA,38,16,61,9,1468
Meredith Garcia,West Dawn,Cloud Architect,JavaScript,Google Cloud Engineer,51,19,117,3,3791
Rhonda Thompson,Jenningsville,Backend Developer,Go,Cisco CCNA,39,7,120,9,7892
Alexander Dickerson,Hardyborough,Backend Developer,Java,Microsoft Azure Fundamentals,55,30,32,3,7622
Gary Smith,North Jennifer,Data Scientist,Go,Certified Ethical Hacker,49,18,11,9,2532
Tiffany Murphy,East Meghan,Backend Developer,PHP,AWS Certified Solutions Architect,22,2,129,0,4273
Monica Holmes,West Timothyhaven,Data Scientist,C#,Oracle Certified Professional,54,25,102,10,2712
Kimberly Chavez,Lake Victoriatown,Cloud Architect,C#,Oracle Certified Professional,32,8,35,0,6739
Jeffrey Lucas,Port Jerry,Cybersecurity Specialist,Python,Oracle Certified Professional,57,1,73,2,6561
Angela Simon,West Jamesport,Cloud Architect,Ruby,Certified Scrum Master,41,19,78,6,4259
Abigail Hampton,North Jenna,Mobile Developer,JavaScript,Microsoft Azure Fundamentals,36,15,12,1,5181
Scott Jenkins,Moodyfurt,AI/ML Engineer,Python,Certified Ethical Hacker,52,11,82,2,2726
Anthony Johnson,South Joseborough,QA Tester,JavaScript,AWS Certified Solutions Architect,29,1,25,10,4185
Kerry Long,Kimberlyburgh,Database Administrator,Kotlin,CompTIA Security+,33,3,81,8,3683
Dustin Butler,Timothyview,Cloud Architect,Java,PMI-ACP,55,3,26,5,6559
Eric Rogers,Michaelfort,Cloud Architect,Ruby,CompTIA Security+,41,18,37,8,5839
Justin Bridges,New Ericborough,Data Scientist,JavaScript,Certified Scrum Master,39,5,126,3,4342
Alyssa Porter,East Annahaven,Cloud Architect,C#,Cisco CCNA,46,0,19,9,2759
Laura Velazquez,New Jeffreymouth,Cybersecurity Specialist,Kotlin,AWS Certified Solutions Architect,36,6,10,8,6359
Robert Thomas,Brittanyport,DevOps Engineer,Go,Certified Ethical Hacker,42,17,82,0,5447
Carol Brown,New Rhondabury,Cybersecurity Specialist,PHP,AWS Certified Developer,27,7,92,4,6389
Lisa Goodwin,Millerbury,QA Tester,Kotlin,Google Cloud Engineer,38,9,34,7,6334
Christian Madden,South David,Data Scientist,Kotlin,PMI-ACP,56,13,145,7,4630
Mary Flynn,Leechester,Frontend Developer,Python,CompTIA Security+,36,12,125,10,2419
Mr. William Lawrence,New Tina,Cloud Architect,JavaScript,Google Cloud Engineer,22,1,120,9,5939
Bradley Burton,Amymouth,Cloud Architect,Swift,Cisco CCNA,38,8,6,3,955
Victor Velez,Lake Timothy,AI/ML Engineer,PHP,Certified Ethical Hacker,52,17,69,2,7301
Susan Fry,Lake Lauraborough,Frontend Developer,C#,Microsoft Azure Fundamentals,58,8,71,5,4430
Jeffrey Roberts,Brettborough,Mobile Developer,Swift,CompTIA Security+,37,0,76,7,2971
Roger Douglas,Port Alexander,AI/ML Engineer,C#,Certified Scrum Master,37,7,49,0,4140
Cindy Nixon,East Patricia,AI/ML Engineer,Java,Google Cloud Engineer,50,4,100,2,6067
Jennifer Nichols,Alexandraburgh,Frontend Developer,Python,Certified Scrum Master,36,10,11,8,3010
Heather Bailey,Roseport,AI/ML Engineer,C#,PMI-ACP,49,28,19,7,4522
Joseph Parsons,North Catherineton,Database Administrator,Ruby,AWS Certified Solutions Architect,47,22,135,6,5110
Rachel Ritter,Emilyside,Frontend Developer,Java,CompTIA Security+,23,1,146,0,3944
Rick Cain,South Tonyaland,AI/ML Engineer,Python,CompTIA Security+,44,8,121,4,4012
Leslie Medina,Lisashire,DevOps Engineer,Ruby,AWS Certified Developer,28,8,12,6,3577
Linda Blair,Elliottfurt,AI/ML Engineer,Ruby,AWS Certified Developer,29,6,92,5,5245
Emily Edwards,South Alyssa,Cybersecurity Specialist,Kotlin,Certified Scrum Master,52,31,121,3,1047
Albert Ross,Joseshire,DevOps Engineer,C#,Microsoft Azure Fundamentals,24,3,37,0,5043
Mary Evans,Port Melissaside,Mobile Developer,PHP,Oracle Certified Professional,45,10,97,7,2551
Kelly Everett,South Susanfurt,DevOps Engineer,Python,CompTIA Security+,36,6,75,9,4259
Joshua Wilson,Port Anitamouth,Database Administrator,Python,AWS Certified Developer,46,14,145,9,4120
Ashley Miller,Hillton,DevOps Engineer,PHP,CompTIA Security+,44,15,120,1,3355
Carrie Rogers,Foxmouth,Data Scientist,Ruby,CompTIA Security+,54,14,48,1,7095
Dawn Hernandez,North Kevinburgh,DevOps Engineer,Ruby,AWS Certified Solutions Architect,33,2,37,1,6552
Victor Krause,Kington,Backend Developer,Python,AWS Certified Developer,42,7,129,3,2192
Joseph Hanson,South Wendy,Backend Developer,JavaScript,Oracle Certified Professional,54,31,71,3,2213
Judith Sawyer,Callahanton,Mobile Developer,Java,Google Cloud Engineer,35,1,82,8,6275
Anita Reyes,Whiteville,QA Tester,TypeScript,Microsoft Azure Fundamentals,59,26,101,2,7929
Denise Cook,New Samantha,DevOps Engineer,PHP,AWS Certified Solutions Architect,40,6,145,1,5081
Jillian Atkinson,Williemouth,Frontend Developer,TypeScript,CompTIA Security+,29,8,7,8,5834
Courtney Hoover,Anitatown,Cybersecurity Specialist,PHP,CompTIA Security+,44,2,120,1,6649
Jerry Payne,Lake Julia,Backend Developer,PHP,PMI-ACP,22,1,52,5,7251
Tracy Brooks,Lake Timothyland,Data Scientist,Java,Certified Ethical Hacker,35,15,54,0,1321
Brian Griffith,South Andrea,Data Scientist,Ruby,PMI-ACP,34,14,119,10,5471
Amanda Wolf,Tylerville,Data Scientist,PHP,Oracle Certified Professional,37,16,18,8,2345
Erin Newman,Jerrystad,Mobile Developer,Swift,Microsoft Azure Fundamentals,46,9,66,0,4884
Glenn Ward,Ronniefort,Cloud Architect,PHP,CompTIA Security+,50,25,44,2,5573
Paul Rodriguez,South Jamesfurt,Database Administrator,Ruby,Microsoft Azure Fundamentals,37,7,106,6,7480
Diana Hines,Masontown,Data Scientist,Kotlin,Certified Scrum Master,47,14,134,0,7530
Mark Martinez,West Jonathanton,Database Administrator,Java,Cisco CCNA,35,9,126,10,5130
Mary Ali,South Jessicaburgh,Database Administrator,JavaScript,Google Cloud Engineer,58,16,110,7,4004
Matthew Smith,Michelleport,QA Tester,Kotlin,CompTIA Security+,52,9,39,10,3898
George Burton,New Mariamouth,Database Administrator,TypeScript,Microsoft Azure Fundamentals,45,12,0,1,1859
Mary Montgomery,New Michellemouth,Frontend Developer,C#,AWS Certified Developer,46,24,85,8,1474
Sarah Luna,Brendastad,Cloud Architect,Python,Microsoft Azure Fundamentals,43,14,60,7,7356
Trevor Fowler,North Michael,Data Scientist,Go,AWS Certified Solutions Architect,40,9,36,4,3350
Hayley Walton,Traceyville,DevOps Engineer,Python,CompTIA Security+,45,25,115,8,2353
Melissa Guerra,Watsonshire,DevOps Engineer,PHP,Cisco CCNA,48,8,122,3,7757
Henry Rojas,Coleburgh,AI/ML Engineer,Go,Certified Scrum Master,49,29,48,1,7040
Justin Oconnell,East Michaelport,Cybersecurity Specialist,C#,AWS Certified Solutions Architect,35,6,86,1,4781
Veronica Ochoa,South Cynthiamouth,DevOps Engineer,C#,Google Cloud Engineer,45,12,133,0,3036
Rachel Fisher,Glennland,Backend Developer,PHP,Google Cloud Engineer,24,2,53,7,2500
Timothy Long,West Dawnbury,Cybersecurity Specialist,JavaScript,Certified Scrum Master,54,20,46,2,6132
Eric Perez,New Bryantown,DevOps Engineer,Swift,Certified Ethical Hacker,49,26,141,4,3861
John Wheeler,Aaronport,QA Tester,Kotlin,AWS Certified Developer,54,33,60,6,4207
Brian Coleman,North Richardmouth,DevOps Engineer,PHP,Microsoft Azure Fundamentals,24,3,93,0,4764
Jenna Moran,North Ashleeland,Database Administrator,TypeScript,PMI-ACP,49,4,15,7,3557
Steven Alvarado,Gregoryborough,QA Tester,Java,AWS Certified Solutions Architect,29,9,92,4,7950
Lauren Moore,Lake Stefanie,AI/ML Engineer,Go,PMI-ACP,39,16,60,0,1037
Jonathan Nichols,Lake Terri,Backend Developer,TypeScript,Google Cloud Engineer,44,20,21,0,3595
Mrs. Leah Miles,Markville,Frontend Developer,JavaScript,Certified Ethical Hacker,57,26,93,2,4083
Tonya Newton,Jacksontown,Database Administrator,Go,Microsoft Azure Fundamentals,29,7,129,8,7770
Timothy Smith,North Brittany,Data Scientist,Go,Cisco CCNA,39,12,104,7,1602
Laura Franklin,Russellfort,Cybersecurity Specialist,Ruby,AWS Certified Solutions Architect,36,0,117,6,5379
Tracy Gallagher,Tanyatown,Backend Developer,Java,AWS Certified Developer,39,1,11,0,6281
Travis Martin,Cobbstad,QA Tester,Ruby,AWS Certified Developer,34,13,76,4,6759
Megan Perry,Howeland,Backend Developer,Python,AWS Certified Solutions Architect,54,13,87,8,831
Carolyn Burns,Katherinefort,QA Tester,Python,CompTIA Security+,49,10,56,3,4274
Reginald Espinoza,South Dan,DevOps Engineer,Go,Oracle Certified Professional,50,0,54,9,4059
Victoria Ortiz,Chenmouth,Data Scientist,Java,Oracle Certified Professional,38,7,17,9,7934
Scott Pruitt,Kendrashire,Cloud Architect,Kotlin,Certified Scrum Master,30,5,6,7,6125
Mackenzie Wilson,East Mia,Cybersecurity Specialist,Java,AWS Certified Developer,41,0,40,2,2812
Bryan King,Leeside,QA Tester,Ruby,Oracle Certified Professional,26,5,123,1,3107
Whitney Woodard,North Katherine,DevOps Engineer,TypeScript,Cisco CCNA,31,4,54,1,5230
Peter Daniels,East Zachary,Database Administrator,TypeScript,PMI-ACP,36,14,70,10,7682
Mrs. Amy Dodson,Trevinoburgh,Database Administrator,Kotlin,CompTIA Security+,42,19,49,5,6887
Teresa Cervantes,Jasontown,AI/ML Engineer,TypeScript,Cisco CCNA,34,4,0,7,4355
